"Record_number","Author","Year","Journal","Trial","Phase_1","Phase_2","Phase_3","Vaccine","Manufacture","Vaccine_type","Group_ID","Group","Candidate_for_further_evaluation","Reference_to_highest_dose","Reference_to_lowest_dose","Age_lower","Age_upper","N","Total_doses","Dosage","Days_between_doses","Days_lower","Days_upper","Concentration_dose_1","Concentration_dose_2","Concentration_dose_3","Concentration_unit","Target","Assay_or_measurement","Specific_immunity_type","Immunity_measurement_unit","Immunity_value","Immunity_value_lower","Immunity_value_upper","Display_item","Ref_baseline","Ref_baseline_lower","Ref_baseline_upper","Ref_conv","Ref_conv_lower","Ref_conv_upper","N_conv","Days_since_first_dose","Days_since_last_dose"
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,0,28,0,0,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-28,-28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,1,28,14,14,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-14,-14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,1,28,28,28,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,0,0
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,2,28,35,35,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",79,47,135,"Table S4",10,10,10,106,60,189,41,7,7
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,2,28,42,42,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",116,66,5,"Table S4",10,10,10,106,60,189,41,14,14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A1","Low-dose, 56to70","No","A5","A1",56,70,10,2,2,28,56,56,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",92,45,188,"Table S4",10,10,10,106,60,189,41,28,28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,0,28,0,0,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-28,-28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,1,28,14,14,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-14,-14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,1,28,28,28,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,0,0
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,2,28,35,35,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",121,69,211,"Table S4",10,10,10,106,60,189,41,7,7
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,2,28,42,42,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",112,67,88,"Table S4",10,10,10,106,60,189,41,14,14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A2","Low-dose, 70 and above","No","A5","A1",71,100,10,2,2,28,56,56,25,25,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",86,44,71,"Table S4",10,10,10,106,60,189,41,28,28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,0,28,0,0,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-28,-28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,1,28,14,14,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",11,9,13,"Table S4",10,10,10,106,60,189,41,-14,-14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,1,28,28,28,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,0,0
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,2,28,35,35,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",289,164,507,"Table S4",10,10,10,106,60,189,41,7,7
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,2,28,42,42,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",402,289,560,"Table S4",10,10,10,106,60,189,41,14,14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A3","High-dose, 56to70","Yes","A5","A1",56,70,10,2,2,28,56,56,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",324,212,496,"Table S4",10,10,10,106,60,189,41,28,28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,0,28,0,0,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-28,-28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,1,28,14,14,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",26,11,60,"Table S4",10,10,10,106,60,189,41,-14,-14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,1,28,28,28,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",16,10,26,"Table S4",10,10,10,106,60,189,41,0,0
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,2,28,35,35,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",310,202,475,"Table S4",10,10,10,106,60,189,41,7,7
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,2,28,42,42,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",317,198,508,"Table S4",10,10,10,106,60,189,41,14,14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A4","High-dose, 70 and above","Yes","A5","A1",71,100,10,2,2,28,56,56,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",242,147,399,"Table S4",10,10,10,106,60,189,41,28,28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,15,2,0,28,0,0,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",10,NA,NA,"Table S4",10,10,10,106,60,189,41,-28,-28
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,15,2,1,28,14,14,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",24,13,42,"Table S4",10,10,10,106,60,189,41,-14,-14
12,"Anderson, E",2020,"NEJM","Yes","Yes","No","No","mRNA-1273","Moderna","mRNA","A5","High-dose, 18to55","Yes","A5","A1",18,55,15,2,1,28,28,28,100,100,NA,"ug","Pseudo virus","PsVNA ID50","NT Ab","GMT/CI",18,12,27,"Table S4",10,10,10,106,60,189,41,0,0
