Record_number,Author,Journal,Year,Vaccine,Vaccine_type,Manufacture,Group_ID,Group,Subgroup,Dose_level,Dose_concentration,Display_item,Time,Dosages,Measurement,N,Event,Risk
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, phase 1, adult",A,Lower,2,Table 2,7,Any,Solicited,24,11,46
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, phase 1, adult",A,Standard,4,Table 2,7,Any,Solicited,24,8,33
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, phase 1, adult",A,Higher,8,Table 2,7,Any,Solicited,24,11,46
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, phase 1, elderly",B,Lower,2,Table 3,7,Any,Solicited,24,1,4
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, phase 1, elderly",B,Standard,4,Table 3,7,Any,Solicited,24,6,25
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, phase 1, elderly",B,Higher,8,Table 3,7,Any,Solicited,24,5,21
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, phase 1, adult",A,Lower,2,Table 2,28,Any,Overall,24,12,50
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, phase 1, adult",A,Standard,4,Table 2,28,Any,Overall,24,11,46
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, phase 1, adult",A,Higher,8,Table 2,28,Any,Overall,24,11,46
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, phase 1, elderly",B,Lower,2,Table 3,28,Any,Overall,24,2,8
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, phase 1, elderly",B,Standard,4,Table 3,28,Any,Overall,24,7,29
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, phase 1, elderly",B,Higher,8,Table 3,28,Any,Overall,24,5,21
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A1,"2ug, phase 1, adult",A,Lower,2,Table 2,7,Any,Local,24,NA,NA
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A2,"4ug, phase 1, adult",A,Standard,4,Table 2,7,Any,Local,24,NA,NA
15,"Xia, S",Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A3,"8ug, phase 1, adult",A,Higher,8,Table 2,7,Any,Local,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A4,"2ug, phase 1, elderly",B,Lower,2,Table 3,7,Any,Local,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A5,"4ug, phase 1, elderly",B,Standard,4,Table 3,7,Any,Local,24,NA,NA
15,Xia. S,Lancet ID,2020,BBIBP-CorV,Inactivated,Sinopharm (Beijing),A6,"8ug, phase 1, elderly",B,Higher,8,Table 3,7,Any,Local,24,NA,NA
